,champion,win,time,spell1,spell2,rune1,rune2,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,51,0,1919,1,4,8021,8200,2.75,16,223,7.0,52,3006,3031,3094,3095,0,0
1,51,1,997,1,4,8021,8200,1.50,9,104,6.3,23,1001,2031,0,3031,1042,1055
2,22,0,1861,7,4,8008,8300,0.73,12,129,4.2,50,3006,3153,3085,0,0,0
3,22,1,1244,7,4,8008,8300,2.33,10,140,6.8,35,3006,3153,0,1018,1055,0
4,22,0,1858,7,4,8008,8300,3.67,15,218,7.0,58,3006,3153,3140,3085,3105,1053
5,21,0,1740,1,4,8005,8200,3.33,14,189,6.5,69,3006,3508,3031,3046,1036,1036
6,22,1,1368,7,4,8008,8300,13.00,12,137,6.0,52,3006,3153,3085,3123,0,0
7,81,1,1006,7,4,8008,8300,4.00,9,111,6.6,53,1001,3004,0,3057,3024,1054
8,81,1,1126,7,4,8008,8300,3.00,9,117,6.2,19,3158,3004,0,3057,1027,1055
9,81,0,1428,7,4,8008,8300,1.00,11,157,6.6,44,3158,3004,3057,3044,1042,1055
10,22,1,1272,7,4,8008,8300,6.00,11,161,7.6,28,3006,3153,2031,0,1055,0
11,22,0,1213,7,4,8008,8300,3.00,10,164,8.1,27,3006,3153,2055,3086,1042,1055
12,22,1,1030,1,4,8008,8300,10.80,9,113,6.6,64,3006,3153,3086,0,0,0
13,81,1,1331,7,4,8008,8300,6.00,12,170,7.7,25,3158,3042,3025,1036,1055,0
14,81,0,1270,7,4,8010,8300,1.00,10,136,6.4,22,3158,3004,3057,1036,1028,3123
15,81,0,1144,7,4,8010,8300,0.83,9,95,5.0,38,1001,3004,2055,3025,0,1055
16,21,1,1496,7,4,8005,8200,4.50,12,157,6.3,55,3006,3508,0,3031,1042,1055
17,81,1,1397,7,4,8010,8300,8.50,12,106,4.6,55,3158,3042,3025,3133,1055,0
18,81,1,963,7,4,8010,8300,8.40,9,123,7.7,37,3158,3004,2055,3025,1055,0
19,22,1,1352,7,4,8008,8200,3.40,12,111,4.9,52,3006,3153,0,3085,1055,0
